site,family,where,lat,long
1,spring meadows,perimeter,36.42548,-116.38719
2,zabrinski point,DV,36.41621,-116.80384
3,furnace south,DV,36.44303,-116.85135
4,badwater north,DV,36.40314,-116.84891
5,badwater north,DV,36.38607,-116.85214
6,artist,DV,36.3306,-116.82766
7,artist,DV,36.34976,-116.79326
8,badwater north,DV,36.38424,-116.83897
9,badwater south,DV,36.2693,-116.78637
10,badwater south,DV,36.22474,-116.77755
11,badwater south,DV,36.1608,-116.76714
12,badwater south,DV,36.03929,-116.75909
13,hw127,perimeter,36.16753,-116.32489
14,spring meadows,perimeter,36.40079,-116.42247
15,hw190 east,perimeter,36.30388,-116.45941
16,hw190 west,perimeter,36.37459,-116.69403
17,furnace south,DV,36.44869,-116.85531
18,the ranch,DV,36.45831,-116.86558
19,furnace north,DV,36.47444,-116.86763
20,furnace north,DV,36.51072,-116.88048
21,stovepipe,DV,36.58962,-116.94869
22,stovepipe,DV,36.62252,-117.06096
23,stovepipe,DV,36.58309,-117.17559
24,panamint,perimeter,36.25747,-117.22301
25,panamint,perimeter,36.33916,-117.47984
26,panamint,perimeter,36.34283,-117.37665
27,beatty,perimeter,36.86548,-116.75608
28,hw8,outside,32.74833,-115.92547
29,anzaborrego,outside,32.85689,-116.20668
30,borregosprings,outside,33.30035,-116.26866
31,borregosprings,outside,33.28193,-116.14111
32,salton city,outside,33.17042,-115.87972
33,blythe,outside,33.30671,-114.74207
34,quartz,outside,33.69743,-114.21694
35,parker,outside,33.99582,-114.22043
36,havasu,outside,34.29023,-114.10368
37,pht,outside,34.72043,-114.45187
38,bullhead city,outside,35.11061,-114.54494
39,lake mead,outside,35.97886,-114.69775
40,lake mead,outside,36.11117,-114.86001
