"Plot Title: Rhee-lab-4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10336344, SEN S/N: 10336344)","RH, % (LGR S/N: 10336344, SEN S/N: 10336344)","Intensity, Lux (LGR S/N: 10336344, SEN S/N: 10336344)","Host Connected (LGR S/N: 10336344)","Stopped (LGR S/N: 10336344)","End Of File (LGR S/N: 10336344)"
1,25-03-31 08:35:04,27.235,41.054,445.4,,,
2,25-03-31 08:40:04,26.671,63.422,9417.2,,,
3,25-03-31 08:45:04,28.320,58.980,9496.0,,,
4,25-03-31 08:50:04,29.315,55.222,9511.8,,,
5,25-03-31 08:55:04,29.941,52.149,9551.2,,,
6,25-03-31 09:00:04,30.318,52.136,9535.4,,,
7,25-03-31 09:05:04,30.495,51.870,9488.1,,,
8,25-03-31 09:10:04,30.571,56.355,9590.6,,,
9,25-03-31 09:15:04,30.571,50.105,9590.6,,,
10,25-03-31 09:20:04,30.646,55.094,9582.7,,,
11,25-03-31 09:25:04,30.520,55.935,9598.5,,,
12,25-03-31 09:30:04,30.672,53.532,9590.6,,,
13,25-03-31 09:35:04,30.773,53.449,9614.2,,,
14,25-03-31 09:40:04,30.824,52.300,9606.4,,,
15,25-03-31 09:45:04,30.849,50.885,9614.2,,,
16,25-03-31 09:50:04,30.925,52.024,9614.2,,,
17,25-03-31 09:55:04,30.976,48.989,7304.3,,,
18,25-03-31 10:00:04,30.243,47.759,9551.2,,,
19,25-03-31 10:05:04,30.672,56.402,9606.4,,,
20,25-03-31 10:10:04,30.419,49.373,9590.6,,,
21,25-03-31 10:15:04,30.545,52.809,9590.6,,,
22,25-03-31 10:20:04,30.520,52.645,9614.2,,,
23,25-03-31 10:25:04,30.748,52.162,9614.2,,,
24,25-03-31 10:30:04,30.824,50.947,9606.4,,,
25,25-03-31 10:35:04,30.849,49.590,9622.1,,,
26,25-03-31 10:40:04,30.976,53.253,9606.4,,,
27,25-03-31 10:45:04,31.052,51.332,9622.1,,,
28,25-03-31 10:50:04,31.103,54.104,9598.5,,,
29,25-03-31 10:55:04,31.001,50.323,9598.5,,,
30,25-03-31 11:00:04,30.874,50.112,9590.6,,,
31,25-03-31 11:05:04,30.773,49.969,9606.4,,,
32,25-03-31 11:10:04,30.697,50.380,9590.6,,,
33,25-03-31 11:15:04,30.646,50.665,9582.7,,,
34,25-03-31 11:20:04,30.646,51.633,9606.4,,,
35,25-03-31 11:25:04,30.596,52.205,9582.7,,,
36,25-03-31 11:30:04,30.596,52.173,9598.5,,,
37,25-03-31 11:35:04,30.748,51.807,9598.5,,,
38,25-03-31 11:40:04,30.824,50.688,9582.7,,,
39,25-03-31 11:45:04,30.874,51.437,9598.5,,,
40,25-03-31 11:50:04,30.824,52.429,9590.6,,,
41,25-03-31 11:55:04,30.748,51.517,9614.2,,,
42,25-03-31 12:00:04,30.824,50.688,9606.4,,,
43,25-03-31 12:05:04,30.900,51.989,9614.2,,,
44,25-03-31 12:10:04,30.824,51.140,9598.5,,,
45,25-03-31 12:15:04,30.748,52.740,9598.5,,,
46,25-03-31 12:20:04,30.697,53.855,9598.5,,,
47,25-03-31 12:25:04,30.672,51.797,9598.5,,,
48,25-03-31 12:30:04,30.748,51.421,9606.4,,,
49,25-03-31 12:35:04,30.849,54.132,9606.4,,,
50,25-03-31 12:40:04,30.798,51.202,9590.6,,,
51,25-03-31 12:45:04,30.849,50.756,9582.7,,,
52,25-03-31 12:50:04,30.874,50.824,9598.5,,,
53,25-03-31 12:55:04,30.874,50.404,9606.4,,,
54,25-03-31 13:00:04,30.874,51.018,9614.2,,,
55,25-03-31 13:05:04,30.824,50.850,9614.2,,,
56,25-03-31 13:10:04,30.900,54.491,9622.1,,,
57,25-03-31 13:15:04,30.900,54.236,9590.6,,,
58,25-03-31 13:20:04,30.773,50.293,9622.1,,,
59,25-03-31 13:25:04,30.748,50.161,9582.7,,,
60,25-03-31 13:30:04,30.722,50.351,9598.5,,,
61,25-03-31 13:35:04,30.646,50.406,9590.6,,,
62,25-03-31 13:40:04,30.672,52.409,9590.6,,,
63,25-03-31 13:45:04,30.646,54.008,9590.6,,,
64,25-03-31 13:50:04,30.672,52.537,9614.2,,,
65,25-03-31 13:55:04,30.722,51.578,9598.5,,,
66,25-03-31 14:00:04,30.849,53.716,9614.2,,,
67,25-03-31 14:05:04,30.798,54.733,9606.4,,,
68,25-03-31 14:10:04,30.722,55.328,9590.6,,,
69,25-03-31 14:15:04,30.672,55.416,9582.7,,,
70,25-03-31 14:20:04,30.621,52.080,9590.6,,,
71,25-03-31 14:25:04,30.621,53.300,9590.6,,,
72,25-03-31 14:30:04,30.722,52.801,9606.4,,,
73,25-03-31 14:35:04,30.798,51.524,9622.1,,,
74,25-03-31 14:40:04,30.874,53.207,9630.0,,,
75,25-03-31 14:45:04,30.976,51.935,9630.0,,,
76,25-03-31 14:50:04,31.026,50.521,9637.9,,,
77,25-03-31 14:55:04,31.026,50.002,9645.8,,,
78,25-03-31 15:00:04,30.950,50.349,9622.1,,,
79,25-03-31 15:05:04,30.849,50.853,9622.1,,,
80,25-03-31 15:10:04,30.773,53.161,9614.2,,,
81,25-03-31 15:15:04,30.722,51.417,9606.4,,,
82,25-03-31 15:20:04,30.798,50.620,9598.5,,,
83,25-03-31 15:25:04,30.874,51.276,9614.2,,,
84,25-03-31 15:30:04,30.874,51.663,9598.5,,,
85,25-03-31 15:35:04,30.773,51.521,9614.2,,,
86,25-03-31 15:40:04,30.748,54.086,9598.5,,,
87,25-03-31 15:45:04,30.748,54.374,9614.2,,,
88,25-03-31 15:50:04,30.697,52.926,9606.4,,,
89,25-03-31 15:55:04,30.697,51.285,9630.0,,,
90,25-03-31 16:00:04,30.773,51.521,9598.5,,,
91,25-03-31 16:05:04,30.849,53.203,9606.4,,,
92,25-03-31 16:10:04,30.874,50.986,9622.1,,,
93,25-03-31 16:15:04,30.874,50.436,9630.0,,,
94,25-03-31 16:20:04,30.925,51.734,9645.8,,,
95,25-03-31 16:25:04,30.874,51.502,9630.0,,,
96,25-03-31 16:30:04,30.798,51.298,9614.2,,,
97,25-03-31 16:35:04,30.748,52.162,9614.2,,,
98,25-03-31 16:40:04,30.798,53.036,9622.1,,,
99,25-03-31 16:45:04,30.798,53.869,9598.5,,,
100,25-03-31 16:50:04,30.773,54.729,9606.4,,,
101,25-03-31 16:55:04,30.697,51.285,9598.5,,,
102,25-03-31 17:00:04,30.773,51.585,9582.7,,,
103,25-03-31 17:05:04,30.874,50.630,9582.7,,,
104,25-03-31 17:10:04,30.900,49.337,9606.4,,,
105,25-03-31 17:15:04,30.925,50.960,9622.1,,,
106,25-03-31 17:20:04,30.925,52.571,9606.4,,,
107,25-03-31 17:25:04,30.900,53.339,9598.5,,,
108,25-03-31 17:30:04,30.874,51.760,9590.6,,,
109,25-03-31 17:35:04,30.925,50.637,9598.5,,,
110,25-03-31 17:40:04,30.976,52.771,9630.0,,,
111,25-03-31 17:45:04,30.925,54.175,9614.2,,,
112,25-03-31 17:50:04,30.824,51.721,9614.2,,,
113,25-03-31 17:55:04,30.874,50.953,9630.0,,,
