"cell","R","G","B","sum_rgb","green_ratio","excess_green","G_minus_R","G_minus_B"
13,122.776,117.608,102.983,343.367,0.342513986492587,9.45700000000001,-5.16799999999999,14.625
14,140.448,140.235,112.523,393.206,0.35664511731764,27.499,-0.212999999999994,27.712
15,122.1,112.192,106.389,340.681,0.329316868272666,-4.105,-9.908,5.803
16,114.891,111.685,105.354,331.93,0.336471545205314,3.125,-3.206,6.331
17,118.726,115.552,107.774,342.052,0.337819980587747,4.60400000000001,-3.17399999999999,7.77800000000001
18,131.983,118.806,116.812,367.601,0.323192809595186,-11.183,-13.177,1.994
20,134.74,131.122,122.407,388.269,0.337709165552748,5.09700000000002,-3.618,8.71500000000002
21,136.844,132.303,127.385,396.532,0.3336502476471,0.376999999999995,-4.541,4.91799999999999
24,135.598,135.544,122.947,394.089,0.343942611948062,12.543,-0.054000000000002,12.597
25,139.058,131.246,120.932,391.236,0.335465039004591,2.50200000000002,-7.81199999999998,10.314
26,125.305,120.983,107.807,354.095,0.341668196387975,8.854,-4.322,13.176
27,131.341,122.557,112.789,366.687,0.334227829184018,0.983999999999995,-8.78400000000001,9.768
29,138.012,133.602,122.047,393.661,0.339383378084189,7.14500000000001,-4.41,11.555
35,129.918,130.025,118.793,378.736,0.34331302015124,11.339,0.106999999999999,11.232
36,135.167,132.104,126.568,393.839,0.335426405206188,2.47300000000003,-3.06299999999999,5.53600000000002
39,129.94,123.321,115.066,368.327,0.334813901777497,1.636,-6.619,8.255
40,128.226,123.754,113.407,365.387,0.338692947477606,5.87500000000001,-4.47199999999999,10.347
41,145.877,142.401,128.348,416.626,0.341795759266104,10.577,-3.476,14.053
43,134.459,128.758,115.863,379.08,0.33965917484436,7.19400000000002,-5.70099999999999,12.895
46,120.363,116.245,108.887,345.495,0.336459283057642,3.24000000000001,-4.118,7.358
48,138.801,136.601,120.329,395.731,0.345186502952763,14.072,-2.19999999999999,16.272
49,145.584,147.179,124.174,416.937,0.35300057322809,24.6,1.595,23.005
51,135.3,127.87,115.514,378.684,0.33766940245693,4.926,-7.43000000000001,12.356
52,140.807,131.208,122.964,394.979,0.33218981262295,-1.35499999999999,-9.59899999999999,8.244
53,141.639,141.854,128.889,412.382,0.343986885945555,13.18,0.215000000000003,12.965
54,129.492,122.1,109.498,361.09,0.338142845274031,5.20999999999999,-7.392,12.602
57,163.17,162.073,139.59,464.833,0.348669307041454,21.386,-1.09699999999998,22.483
59,143.666,138.632,132.978,415.276,0.333830994326665,0.620000000000005,-5.03399999999999,5.654
60,120.718,106.875,101.847,329.44,0.324414157357941,-8.815,-13.843,5.02800000000001
61,124.867,119.941,106.082,350.89,0.341819373592864,8.93300000000001,-4.926,13.859
62,139.958,137.932,118.276,396.166,0.348167182443723,17.63,-2.02600000000001,19.656
63,155.015,144.79,122.728,422.533,0.342671459980641,11.837,-10.225,22.062
68,138.855,138.051,126.772,403.678,0.341982966621912,10.475,-0.804000000000002,11.279
69,128.072,125.157,120.303,373.532,0.335063662551,1.93899999999999,-2.91500000000001,4.854
70,168.325,160.227,147.821,476.373,0.336347777896732,4.30800000000002,-8.09799999999998,12.406
71,133.639,128.473,113.35,375.462,0.342173109395891,9.95700000000002,-5.166,15.123
72,134.433,134.272,123.998,392.703,0.341917428692931,10.113,-0.161000000000001,10.274
74,141.234,135.26,107.423,383.917,0.352315734911452,21.863,-5.97400000000002,27.837
75,146.603,136.606,127.03,410.239,0.33299125631644,-0.421000000000021,-9.99700000000001,9.57599999999999
76,140.987,135.378,115.761,392.126,0.345241070472246,14.008,-5.60900000000001,19.617
79,124.524,123.638,118.398,366.56,0.33729266695766,4.35400000000001,-0.885999999999996,5.24000000000001
80,153.018,152.618,133.427,439.063,0.34759931945985,18.791,-0.400000000000006,19.191
81,144.272,141.149,132.491,417.912,0.337748138364057,5.535,-3.12299999999999,8.65799999999999
83,138.292,142.526,118.52,399.338,0.356905678898577,28.24,4.23400000000001,24.006
84,153.336,146.168,136.779,436.283,0.33503024413053,2.221,-7.16800000000001,9.38900000000001
85,161.219,153.362,145.656,460.237,0.333223969389684,-0.15100000000001,-7.857,7.70599999999999
86,146.667,143.054,135.977,425.698,0.336045741347152,3.464,-3.613,7.077
90,145.717,131.184,125.521,402.422,0.325986153838508,-8.87000000000002,-14.533,5.663
91,136.723,136.975,123.236,396.934,0.34508255780558,13.991,0.251999999999981,13.739
92,147.09,143.979,118.862,409.931,0.351227401684674,22.006,-3.11099999999999,25.117
93,125.839,123.132,116.622,365.593,0.336800759314319,3.80300000000001,-2.70699999999999,6.51
94,124.057,123.339,111.08,358.476,0.344064874635959,11.541,-0.718000000000004,12.259
95,136.72,134.457,121.09,392.267,0.342769083302954,11.104,-2.26300000000001,13.367
96,140.441,137.961,117.67,396.072,0.348323032175968,17.811,-2.47999999999999,20.291
98,143.018,140.844,123.02,406.882,0.346154413318849,15.65,-2.17400000000001,17.824
102,151.849,151.397,138.588,441.834,0.342655839070782,12.357,-0.451999999999998,12.809
103,134.189,132.598,120.363,387.15,0.342497739894098,10.644,-1.59099999999998,12.235
105,129.603,119.285,110.561,359.449,0.331855144957977,-1.59400000000002,-10.318,8.72399999999999
106,113.341,110.871,92.974,317.186,0.349545692432831,15.427,-2.47,17.897
107,140.446,134.072,122.838,397.356,0.337410281963781,4.86000000000001,-6.374,11.234
108,148.349,135.149,116.793,400.291,0.337626876447385,5.15600000000001,-13.2,18.356
112,139.253,132.408,123.238,394.899,0.335295860460523,2.32499999999999,-6.845,9.16999999999999
113,145.733,142.115,126.332,414.18,0.343123762615288,12.165,-3.618,15.783
114,148.9,151.072,139.856,439.828,0.343479723892067,13.388,2.172,11.216
116,132.8,132.759,118.872,384.431,0.345338955495264,13.846,-0.0410000000000252,13.887
