"cell","Area","X","Y","Perim.","Major","Minor","Angle","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
1,0,7.842,3.474,0,0.015,0.015,0,0,0,596,264,0,0,0,0,NA
2,0,10.211,3.211,0,0.015,0.015,0,0,0,776,244,0,0,0,0,NA
3,0,12.526,3.158,0,0.015,0.015,0,0,0,952,240,0,0,0,0,NA
4,0,15.421,3.105,0,0.015,0.015,0,0,0,1172,236,0,0,0,0,NA
5,0,17.105,2.737,0,0.015,0.015,0,0,0,1300,208,0,0,0,0,NA
6,0,20,3,0,0.015,0.015,0,0,0,1520,228,0,0,0,0,NA
7,0,22.316,3.211,0,0.015,0.015,0,0,0,1696,244,0,0,0,0,NA
8,0,24.842,3.211,0,0.015,0.015,0,0,0,1888,244,0,0,0,0,NA
9,0,27.211,3.368,0,0.015,0.015,0,0,0,2068,256,0,0,0,0,NA
10,0,29.579,3.526,0,0.015,0.015,0,0,0,2248,268,0,0,0,0,NA
11,0,31.632,3.474,0,0.015,0.015,0,0,0,2404,264,0,0,0,0,NA
12,0,8.053,6,0,0.015,0.015,0,0,0,612,456,0,0,0,0,NA
13,1.755,0,0,5.171,2.004,1.115,109.404,0.825,2.148,697,216,107.103,1.169,1.797,0.557,0.989
14,0.51,0,0,2.723,0.91,0.713,88.625,0.864,0.961,985,297,90,0.759,1.276,0.784,0.999
15,2.833,0,0,6.542,2.636,1.369,122.394,0.832,2.72,1020,147,122.152,1.39,1.926,0.519,1
16,1.825,0,0,5.107,1.933,1.203,58.154,0.88,2.066,1293,345,62.292,1.248,1.607,0.622,1.001
17,1.793,0,0,5.182,1.906,1.198,6.995,0.839,2.037,1341,422,5.932,1.234,1.591,0.628,0.978
18,1.025,0,0,3.819,1.369,0.954,7.903,0.884,1.475,1754,398,2.045,0.982,1.435,0.697,0.997
19,0,24.776,5.671,0,0.015,0.015,0,0,0,1883,431,0,0,0,0,NA
20,0.879,0,0,3.608,1.366,0.819,67.539,0.848,1.494,2096,397,70.448,0.855,1.667,0.6,1
21,1.226,0,0,4.108,1.494,1.045,164.636,0.913,1.486,2250,450,159.8,1.03,1.429,0.7,0.997
22,0,31.855,5.908,0,0.015,0.015,0,0,0,2421,449,0,0,0,0,NA
23,0,8.053,7.947,0,0.015,0.015,0,0,0,612,604,0,0,0,0,NA
24,0.943,0,0,3.92,1.56,0.77,111.853,0.771,1.63,794,623,111.801,0.8,2.025,0.494,0.986
25,1.256,0,0,4.545,1.73,0.924,126.448,0.764,1.932,958,639,127.807,0.983,1.872,0.534,1
26,1.941,0,0,5.413,2.093,1.181,131.738,0.832,2.255,1160,600,131.689,1.23,1.772,0.564,0.999
27,0.956,0,0,3.587,1.261,0.965,100.453,0.933,1.296,1347,602,105.306,0.971,1.307,0.765,1
28,0,20.053,7.921,0,0.015,0.015,0,0,0,1524,602,0,0,0,0,NA
29,0.841,0,0,3.457,1.3,0.824,26.862,0.884,1.371,1761,579,25.582,0.832,1.577,0.634,1.003
30,0,25.092,8,0,0.015,0.015,0,0,0,1907,608,0,0,0,0,NA
31,0,27.447,7.921,0,0.015,0.015,0,0,0,2086,602,0,0,0,0,NA
32,0,29.408,7.961,0,0.015,0.015,0,0,0,2235,605,0,0,0,0,NA
33,0,31.724,8.829,0,0.015,0.015,0,0,0,2411,671,0,0,0,0,NA
34,0,7.947,11,0,0.015,0.015,0,0,0,604,836,0,0,0,0,NA
35,2.128,0,0,5.709,2.273,1.192,114.482,0.82,2.407,679,611,116.985,1.212,1.906,0.525,1
36,1.183,0,0,4.216,1.534,0.982,28.398,0.836,1.648,966,781,25.542,1.049,1.561,0.64,0.99
37,0,15.158,10.474,0,0.015,0.015,0,0,0,1152,796,0,0,0,0,NA
38,0,17.5,10.184,0,0.015,0.015,0,0,0,1330,774,0,0,0,0,NA
39,1.274,0,0,4.376,1.653,0.981,17.756,0.836,1.798,1571,785,17.904,1.027,1.684,0.594,0.997
