"","id","cell","experiment","tray","row","col","si","site","individual","family","where","fustat","d0","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","d11","d12","d13","time_to_one","time_to_two","time_to_three","time_to_four","from_one_to_four","from_two_to_four","from_three_to_four","from_one_to_two","cluster"
"1",1594,13,20241006,1,2,2,"S3I5",3,5,"furnace south","DV",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,NA,6,7,2,NA,1,NA,"2"
"2",1595,14,20241006,1,2,3,"S17I2",17,2,"furnace south","DV",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,NA,NA,7,8,NA,NA,1,NA,"2"
"3",1596,15,20241006,1,2,4,"S29I4",29,4,"anzaborrego","outside",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,9,10,NA,NA,1,NA,"3"
"4",1598,17,20241006,1,2,6,"S28I2",28,2,"hw8","outside",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,6,9,10,NA,4,1,NA,"3"
"5",1599,18,20241006,1,2,7,"S1I9",1,9,"spring meadows","perimeter",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"6",1600,19,20241006,1,2,8,"S36I4",36,4,"havasu","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"7",1601,20,20241006,1,2,9,"S37I5",37,5,"pht","outside",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"8",1602,21,20241006,1,2,10,"S1I2",1,2,"spring meadows","perimeter",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,NA,6,7,8,NA,2,1,NA,"2"
"9",1604,25,20241006,1,3,3,"S37I3",37,3,"pht","outside",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,NA,NA,7,8,NA,NA,1,NA,"2"
"10",1605,26,20241006,1,3,4,"S38I1",38,1,"bullhead city","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"11",1606,27,20241006,1,3,5,"S35I5",35,5,"parker","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"12",1607,28,20241006,1,3,6,"S40I5",40,5,"lake mead","outside",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,9,10,NA,NA,1,NA,"3"
"13",1609,30,20241006,1,3,8,"S37I1",37,1,"pht","outside",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,9,10,NA,NA,1,NA,"3"
"14",1611,32,20241006,1,3,10,"S28I1",28,1,"hw8","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"15",1612,35,20241006,1,4,2,"S9I3",9,3,"badwater south","DV",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"16",1613,36,20241006,1,4,3,"S33I2",33,2,"blythe","outside",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,6,9,10,NA,4,1,NA,"3"
"17",1615,38,20241006,1,4,5,"S31I5",31,5,"borregosprings","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"18",1616,39,20241006,1,4,6,"S35I2",35,2,"parker","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"19",1619,42,20241006,1,4,9,"S28I4",28,4,"hw8","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"20",1620,43,20241006,1,4,10,"S27I2",27,2,"beatty","perimeter",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,5,6,7,8,3,2,1,1,"2"
"21",1622,47,20241006,1,5,3,"S15I1",15,1,"hw190 east","DV",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"22",1623,48,20241006,1,5,4,"S32I2",32,2,"salton city","outside",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,NA,6,7,8,NA,2,1,NA,"2"
"23",1625,50,20241006,1,5,6,"S9I2",9,2,"badwater south","DV",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,NA,6,7,2,NA,1,NA,"2"
"24",1628,53,20241006,1,5,9,"S32I3",32,3,"salton city","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"25",1629,54,20241006,1,5,10,"S29I1",29,1,"anzaborrego","outside",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"26",1630,57,20241006,1,6,2,"S29I1",29,1,"anzaborrego","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"27",1631,58,20241006,1,6,3,"S27I6",27,6,"beatty","perimeter",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,6,8,9,4,3,1,1,"3"
"28",1632,59,20241006,1,6,4,"S13I2",13,2,"hw127","perimeter",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"29",1633,60,20241006,1,6,5,"S12I3",12,3,"badwater south","DV",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"30",1634,61,20241006,1,6,6,"S39I3",39,3,"lake mead","outside",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,6,9,10,NA,4,1,NA,"3"
"31",1635,62,20241006,1,6,7,"S3I5",3,5,"furnace south","DV",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"32",1636,63,20241006,1,6,8,"S25I1",25,1,"panamint","perimeter",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"33",1637,64,20241006,1,6,9,"S34I4",34,4,"quartz","outside",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"34",1638,65,20241006,1,6,10,"S25I1",25,1,"panamint","perimeter",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,NA,6,7,8,NA,2,1,NA,"2"
"35",1639,68,20241006,1,7,2,"S33I1",33,1,"blythe","outside",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,6,9,10,NA,4,1,NA,"3"
"36",1640,69,20241006,1,7,3,"S27I6",27,6,"beatty","perimeter",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,6,NA,8,9,3,NA,1,NA,"3"
"37",1641,70,20241006,1,7,4,"S22I2",22,2,"stovepipe","DV",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,6,9,10,NA,4,1,NA,"3"
"38",1645,74,20241006,1,7,8,"S35I1",35,1,"parker","outside",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"39",1646,75,20241006,1,7,9,"S34I3",34,3,"quartz","outside",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,NA,6,7,NA,NA,1,NA,"2"
"40",1648,79,20241006,1,8,2,"S12I1",12,1,"badwater south","DV",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,6,9,10,NA,4,1,NA,"3"
"41",1649,80,20241006,1,8,3,"S28I3",28,3,"hw8","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,6,8,9,NA,3,1,NA,"3"
"42",1650,81,20241006,1,8,4,"S34I5",34,5,"quartz","outside",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,NA,6,7,8,NA,2,1,NA,"2"
"43",1651,82,20241006,1,8,5,"S12I1",12,1,"badwater south","DV",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,6,NA,7,8,2,NA,1,NA,"2"
"44",1652,83,20241006,1,8,6,"S2I6",2,6,"zabrinski point","DV",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,6,NA,8,9,3,NA,1,NA,"3"
"45",1653,84,20241006,1,8,7,"S38I6",38,6,"bullhead city","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,NA,8,9,NA,NA,1,NA,"3"
"46",1654,85,20241006,1,8,8,"S36I4",36,4,"havasu","outside",1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,NA,5,NA,6,NA,1,NA,NA,"1"
"47",1655,86,20241006,1,8,9,"S28I4",28,4,"hw8","outside",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,NA,6,7,8,NA,2,1,NA,"2"
"48",1657,90,20241006,1,9,2,"S31I2",31,2,"borregosprings","outside",1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,NA,6,NA,7,NA,1,NA,NA,"2"
"49",1658,91,20241006,1,9,3,"S15I2",15,2,"hw190 east","DV",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,7,9,10,4,3,1,1,"3"
"50",1659,92,20241006,1,9,4,"S16I5",16,5,"hw190 west","DV",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,8,9,10,4,2,1,2,"3"
"51",1660,93,20241006,1,9,5,"S28I1",28,1,"hw8","outside",1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,NA,7,8,9,NA,2,1,NA,"3"
"52",1661,94,20241006,1,9,6,"S24I5",24,5,"panamint","perimeter",1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,NA,NA,7,8,NA,NA,1,NA,"2"
"53",1662,95,20241006,1,9,7,"S32I3",32,3,"salton city","outside",1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,9,10,NA,NA,1,NA,"3"
