JF,experiment,sample,bio reps,leaves,tech reps,total,sampled,id1,id2,id3,extcn batch,A260/280,A260/230,qubit (ng/mL),ng/uL,*24uL (ug),RIN,notes,,,,,,,
01,20250922,30,1,2,3,6,yes,4904,4974,5005,second,2.11,1.38,467.00,93.40,2.24,-,,,,,,,,
02,20250922,37,1,2,3,6,yes,4955,5098,5049,second,2.08,1.49,560.00,112.00,2.69,8.4,,,,,,,,
03,20250922,44,1,2,3,6,yes,4877,4859,5121,second,2.14,0.52,444.00,88.80,2.13,-,,,,,,,,
04,20250922,51,1,2,3,6,yes,4835,5122,5141,second,2.06,1.10,422.00,84.40,2.03,-,,,,,,,,
05,20250922,55_cold,1,2,3,6,yes,4967,5033,5010,first,2.03,1.02,410.00,82.00,1.97,-,,,,,,,,
06,20250922,55_hot,1,2,3,6,yes,4980,4836,5148,second,1.95,0.94,560.00,112.00,2.69,8.8,,,,,,,,
07,20250928,30,1,2,3,6,yes,5313,5469,5322,first,1.74,0.94,371.00,74.20,1.78,-,,,,,,,,
08,20250928,37,1,2,3,6,yes,5414,5258,5317,first,1.98,1.62,540.00,108.00,2.59,8.6,,,,,,,,
09,20250928,44,1,2,3,6,yes,5260,5324,5471,first,1.87,1.01,321.00,64.20,1.54,-,,,,,,,,
10,20250928,51,1,2,3,6,yes,5152,5388,5308,first,1.70,0.94,337.00,67.40,1.62,8.7,,,,,,,,
11,20250928,55_cold,1,2,3,6,yes,5227,5355,5276,second,2.09,1.14,350.00,70.00,1.68,-,,,,,,,,
12,20250928,55_hot,1,2,3,6,yes,5162,5456,5346,second,2.00,0.90,570.00,114.00,2.74,-,,,,,,,,
13,20251015,30,1,2,3,6,yes,5544,5747,5645,second,1.86,0.52,198.00,39.60,0.95,8.7,,,,,,,,
14,20251015,37,1,2,3,6,yes,5791,5631,5478,first,1.46,0.80,229.00,45.80,1.10,-,,,,,,,,
15,20251015,44,1,2,3,6,yes,5494,5760,5637,first,2.05,1.34,490.00,98.00,2.35,-,"no liquid nitrogen, into -70°C asap",,,,,,,
16,20251015,51,1,2,3,6,yes,5682,5587,5798,second,1.87,1.14,442.00,88.40,2.12,-,,,,,,,,
17,20251015,55_cold,1,2,3,6,yes,5596,5662,5669,second,1.63,0.81,306.00,61.20,1.47,-,,,,,,,,
18,20251015,55_hot,1,2,3,6,yes,5491,5775,5752,second,1.85,0.82,650.00,130.00,3.12,8.7,,,,,,,,
19,20251015,d9,1,2,3,6,yes,5815,5846,5860,first,1.71,0.88,456.00,91.20,2.19,-,,,,,,,,
20,20251015,d10,1,2,3,6,yes,5925,5841,5899,second,1.91,1.34,690.00,138.00,3.31,8.7,,,,,,,,
21,20251015,d11,1,2,3,6,yes,5954,5829,5897,first,1.72,1.19,740.00,148.00,3.55,-,"no liquid nitrogen, into -70°C asap",,,,,,,
22,20251015,d12,1,2,3,6,yes,5807,5938,5887,first,2.08,1.46,287.00,57.40,1.38,-,,,,,,,,
23,20251015,d13,1,2,3,6,yes,5811,5912,5928,second,2.04,1.99,620.00,124.00,2.98,8.3,,,,,,,,
24,20251020,d9,1,2,3,6,yes,6096,6054,5999,first,1.98,1.40,337.00,67.40,1.62,-,,,,,,,,
25,20251020,d10,1,2,3,6,yes,6106,5996,6070,second,1.75,1.10,710.00,142.00,3.41,-,,,,,,,,
26,20251020,d11,1,2,3,6,yes,6079,5962,6004,first,1.89,1.66,600.00,120.00,2.88,8.5,,,,,,,,
27,20251020,d12,1,2,3,6,yes,6010,6063,6058,second,1.83,0.74,359.00,71.80,1.72,8.7,,,,,,,,
28,20251020,d13,1,2,3,6,yes,5971,6028,6110,first,1.76,0.66,172.00,34.40,0.83,-,,,,,,,,
29,20251021,d9,1,2,3,6,yes,6266,6144,6206,first,2.00,1.59,710.00,142.00,3.41,8.4,,,,,,,,
30,20251021,d10,1,2,3,6,yes,6133,6170,6267,second,1.75,0.97,730.00,146.00,3.50,-,,,,,,,,
31,20251021,d11,1,2,3,6,yes,6133,6144,6206,first,2.08,0.92,351.00,70.20,1.68,8.5,,,,,,,,
32,20251021,d12,1,2,3,6,yes,6159,6234,6204,first,1.93,1.16,700.00,140.00,3.36,-,,,,,,,,
33,20251021,d13,1,2,3,6,yes,6124,6219,6215,second,2.13,1.10,345.00,69.00,1.66,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
