"Plot Title: Rhee-lab-4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10336344, SEN S/N: 10336344)","RH, % (LGR S/N: 10336344, SEN S/N: 10336344)","Intensity, Lux (LGR S/N: 10336344, SEN S/N: 10336344)","Host Connected (LGR S/N: 10336344)","End Of File (LGR S/N: 10336344)"
1,25-09-26 15:37:44,25.065,48.239,406.0,,
2,25-09-26 15:42:44,28.468,52.717,32280.1,,
3,25-09-26 15:47:44,32.355,48.544,32280.1,,
4,25-09-26 15:52:44,34.492,45.279,32280.1,,
5,25-09-26 15:57:44,35.877,42.028,32280.1,,
6,25-09-26 16:02:44,36.661,39.509,32280.1,,
7,25-09-26 16:07:44,37.151,37.447,32280.1,,
8,25-09-26 16:12:44,37.453,36.586,32280.1,,
9,25-09-26 16:17:44,37.618,35.984,32280.1,,
10,25-09-26 16:22:44,37.728,35.306,32280.1,,
11,25-09-26 16:27:44,37.783,35.002,32280.1,,
12,25-09-26 16:32:44,37.811,35.039,32280.1,,
13,25-09-26 16:37:44,37.838,34.938,32280.1,,
14,25-09-26 16:42:44,37.838,34.696,32280.1,,
15,25-09-26 16:47:44,37.838,34.627,32280.1,,
16,25-09-26 16:52:44,37.866,34.492,32280.1,,
17,25-09-26 16:57:44,37.838,34.144,32280.1,,
18,25-09-26 17:02:44,37.838,34.075,32280.1,,
19,25-09-26 17:07:44,37.838,33.660,32280.1,,
20,25-09-26 17:12:44,37.838,33.453,32280.1,,
21,25-09-26 17:17:44,37.838,33.314,32280.1,,
22,25-09-26 17:22:44,37.838,33.176,32280.1,,
23,25-09-26 17:27:44,37.838,33.037,32280.1,,
24,25-09-26 17:32:44,37.838,32.760,32280.1,,
25,25-09-26 17:37:44,37.811,32.861,32280.1,,
26,25-09-26 17:42:44,37.811,32.965,32280.1,,
27,25-09-26 17:47:44,37.811,33.000,32280.1,,
28,25-09-26 17:52:44,37.811,32.757,32280.1,,
29,25-09-26 17:57:44,37.783,32.512,32280.1,,
30,25-09-26 18:02:44,37.783,32.616,32280.1,,
31,25-09-26 18:07:44,37.783,33.171,32280.1,,
32,25-09-26 18:12:44,37.755,33.376,32280.1,,
33,25-09-26 18:17:44,37.755,33.307,32280.1,,
34,25-09-26 18:22:44,37.755,32.822,32280.1,,
35,25-09-26 18:27:44,37.728,33.097,32280.1,,
36,25-09-26 18:32:44,37.728,33.027,32280.1,,
37,25-09-26 18:37:44,37.728,32.993,32280.1,,
38,25-09-26 18:42:44,37.728,32.785,32280.1,,
39,25-09-26 18:47:44,37.728,32.716,32280.1,,
40,25-09-26 18:52:44,37.755,32.753,32280.1,,
41,25-09-26 18:57:44,37.755,32.995,32280.1,,
42,25-09-26 19:02:44,37.755,33.030,32280.1,,
43,25-09-26 19:07:44,37.755,33.307,32280.1,,
44,25-09-26 19:12:44,37.755,33.549,32280.1,,
45,25-09-26 19:17:44,37.755,33.998,32280.1,,
