"","id","cell","tray","row","col","si","site","individual","d9","d13","family","where","time_to_one","time_to_two","time_to_three","time_to_four","time_to_four_adj","fustat","day_sum","dead_count","experiment"
"1","4828",13,"1","2","2","S14I3","14","3","5","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,3,0,20250922
"2","4830",15,"1","2","4","S1I7","1","7","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"3","4831",16,"1","2","5","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"4","4834",19,"1","2","8","S1I5","1","5","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"5","4835",20,"1","2","9","S14I3","14","3","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"6","4836",21,"1","2","10","S1I8","1","8","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"7","4838",25,"1","3","3","S13I2","13","2","0","0","hw127","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"8","4839",26,"1","3","4","S15I2","15","2","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"9","4840",27,"1","3","5","S1I7","1","7","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"10","4841",28,"1","3","6","S15I5","15","5","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"11","4842",29,"1","3","7","S1I8","1","8","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"12","4845",32,"1","3","10","S15I5","15","5","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"13","4846",35,"1","4","2","S1I7","1","7","0","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,4,0,20250922
"14","4848",37,"1","4","4","S1I11","1","11","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"15","4849",38,"1","4","5","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"16","4851",40,"1","4","7","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"17","4852",41,"1","4","8","S14I1","14","1","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"18","4853",42,"1","4","9","S13I2","13","2","5","5","hw127","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"19","4854",43,"1","4","10","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"20","4855",46,"1","5","2","S13I1","13","1","5","5","hw127","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"21","4856",47,"1","5","3","S14I2","14","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"22","4857",48,"1","5","4","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"23","4858",49,"1","5","5","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
"24","4859",50,"1","5","6","S14I3","14","3","0","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,4,0,20250922
"25","4860",51,"1","5","7","S1I4","1","4","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"26","4861",52,"1","5","8","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"27","4862",53,"1","5","9","S15I2","15","2","5","0","hw190 east","DV",NA,NA,NA,NA,NA,0,3,0,20250922
"28","4863",54,"1","5","10","S1I11","1","11","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"29","4867",60,"1","6","5","S1I11","1","11","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"30","4868",61,"1","6","6","S15I2","15","2","0","5","hw190 east","DV",NA,NA,NA,NA,NA,0,4,0,20250922
"31","4869",62,"1","6","7","S13I2","13","2","0","5","hw127","perimeter",NA,NA,NA,NA,NA,0,4,0,20250922
"32","4871",64,"1","6","9","S15I5","15","5","5","5","hw190 east","DV",NA,NA,NA,NA,NA,0,5,0,20250922
"33","4872",65,"1","6","10","S14I2","14","2","5","5","spring meadows","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"34","4873",68,"1","7","2","S1I2","1","2","0","0","spring meadows","perimeter",NA,NA,NA,NA,NA,0,2,0,20250922
"35","4874",69,"1","7","3","S13I2","13","2","5","5","hw127","perimeter",NA,NA,NA,NA,NA,0,5,0,20250922
"36","4876",71,"1","7","5","S15I2","15","2","0","0","hw190 east","DV",NA,NA,NA,NA,NA,0,2,0,20250922
