tray,row,col,cell,id,round,note
1,2,2,13,4828,mock,
1,2,4,15,4830,aba,
1,2,5,16,4831,mock,
1,2,8,19,4834,untreated,
1,3,3,25,4838,untreated,
1,3,5,27,4840,untreated,
1,3,6,28,4841,aba,
1,4,4,37,4848,fca,
1,4,5,38,4849,mock,
1,4,7,40,4851,untreated,
1,4,8,41,4852,aba,
1,4,10,43,4854,mock,
1,5,3,47,4856,untreated,
1,5,4,48,4857,aba,
1,5,5,49,4858,untreated,
1,5,7,51,4860,fca,
1,5,8,52,4861,fca,
1,5,9,53,4862,untreated,
1,7,2,68,4873,mock,
1,7,5,71,4876,mock,
1,7,7,73,4878,untreated,
1,7,8,74,4879,mock,
1,7,9,75,4880,untreated,
1,8,2,79,4882,aba,
1,8,9,86,4889,fca,
1,9,3,91,4892,untreated,
1,9,4,92,4893,aba,
1,9,5,93,4894,mock,
1,9,6,94,4895,aba,
1,9,7,95,4896,fca,
1,9,8,96,4897,mock,
1,9,9,97,4898,aba,
1,9,10,98,4899,mock,
1,10,3,102,4901,mock,
1,10,4,103,4902,fca,
1,10,5,104,4903,fca,
1,11,3,113,4910,aba,
1,11,5,115,4912,aba,
1,11,6,116,4913,untreated,
1,11,8,118,4915,aba,
1,11,9,119,4916,untreated,
1,12,4,125,4920,fca,
1,12,6,127,4922,aba,
1,12,7,128,4923,fca,
1,12,8,129,4924,fca,
1,12,9,130,4925,fca,
1,12,10,131,4926,aba,
1,13,3,135,4928,mock,
1,13,6,138,4931,mock,
1,14,2,145,4936,aba,
1,14,3,146,4937,untreated,
1,14,4,147,4938,fca,
1,14,5,148,4939,fca,
1,14,6,149,4940,untreated,
1,14,7,150,4941,aba,
1,14,8,151,4942,fca,
1,14,9,152,4943,aba,
1,15,4,158,4947,aba,
1,15,9,163,4952,untreated,
1,16,2,167,4954,mock,
1,16,5,170,4957,untreated,
1,16,6,171,4958,aba,
1,16,7,172,4959,mock,
1,16,9,174,4961,aba,
1,17,2,178,4963,untreated,
1,17,3,179,4964,fca,
1,17,4,180,4965,aba,
1,17,5,181,4966,fca,
1,17,7,183,4968,fca,
1,17,8,184,4969,untreated,
1,17,9,185,4970,fca,
1,18,5,191,4974,fca,col 4 to col 5
1,19,3,201,4982,mock,
1,19,4,202,4983,aba,
1,19,5,203,4984,untreated,
1,19,6,204,4985,mock,
1,19,7,205,4986,aba,
1,19,9,207,4988,untreated,
1,19,10,208,4989,mock,
2,2,2,233,4990,untreated,
2,2,3,234,4991,aba,
2,2,4,235,4992,mock,
2,2,6,237,4994,mock,
2,2,9,240,4997,mock,
2,3,4,246,5001,fca,
2,3,5,247,5002,untreated,
2,3,6,248,5003,aba,added
2,3,10,252,5007,untreated,
2,4,2,255,5008,untreated,
2,4,5,258,5011,aba,
2,4,6,259,5012,fca,
2,4,7,260,5013,fca,
2,4,8,261,5014,aba,
2,4,9,262,5015,mock,
2,4,10,263,5016,aba,
2,5,2,266,5017,mock,
2,5,7,271,5022,mock,
2,5,8,272,5023,untreated,
2,5,10,274,5025,untreated,
2,6,4,279,5028,untreated,
2,6,5,280,5029,untreated,swapped with col 6
2,6,6,281,5030,aba,swapped with col 5
2,6,7,282,5031,fca,
2,6,8,283,5032,aba,
2,6,10,285,5034,mock,
2,7,4,290,5037,fca,
2,7,6,292,5039,fca,
2,7,8,294,5041,untreated,
2,8,4,301,5046,untreated,
2,8,5,302,5047,fca,
2,8,6,303,5048,mock,
2,8,8,305,5050,fca,
2,8,9,306,5051,mock,
2,9,2,310,5053,mock,
2,9,4,312,5055,aba,
2,9,5,313,5056,fca,
2,9,6,314,5057,fca,
2,9,7,315,5058,untreated,
2,9,8,316,5059,aba,
2,9,9,317,5060,fca,
2,9,10,318,5061,aba,
2,10,6,325,5066,aba,
2,10,10,329,5070,mock,
2,11,3,333,5072,untreated,
2,11,5,335,5074,fca,
2,11,6,336,5075,fca,
2,11,7,337,5076,untreated,
2,11,8,338,5077,fca,
2,11,10,340,5079,untreated,
2,12,2,343,5080,mock,
2,12,6,347,5084,aba,
2,12,8,349,5086,aba,
2,12,10,351,5088,mock,
2,13,5,357,5092,mock,
2,13,7,359,5094,untreated,
2,13,8,360,5095,fca,
2,13,9,361,5096,fca,
2,14,3,366,5099,untreated,
2,14,4,367,5100,aba,
2,14,5,368,5101,fca,
2,14,7,370,5103,aba,
2,14,8,371,5104,fca,
2,15,6,380,5111,fca,
2,15,7,381,5112,mock,
2,15,8,382,5113,fca,
2,15,9,383,5114,mock,
2,15,10,384,5115,aba,
2,16,5,390,5119,mock,
2,16,6,391,5120,untreated,
2,16,10,395,5124,untreated,
2,17,6,402,5129,aba,
2,17,7,403,5130,fca,
2,17,8,404,5131,mock,
2,17,9,405,5132,aba,
2,18,3,410,5135,aba,
2,19,2,420,5143,untreated,
2,19,3,421,5144,mock,
2,19,4,422,5145,untreated,
2,19,6,424,5147,mock,
2,19,8,426,5149,mock,
2,19,10,428,5151,mock,
