tray,row,col,cell,notes,si,site,individual,id,d23T,d23C,d22T,d22C,d21T,d21C,d20T,d20C,d19T,d19C,d18T,d18C,d17T,d17C,d16T,d16C,d15T,d15C,d14T,d14C,dx,dx
1,1,1,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,2,2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,3,3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,4,4,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,5,5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,6,6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,7,7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,8,8,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,9,9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,10,10,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,11,11,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,1,12,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,2,13,,S14I3,14,3,4828,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,1,0,0,0,0,,
1,2,3,14,,S15I2,15,2,4829,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
1,2,4,15,,S1I7,1,7,4830,4,4,4,4,4,4,3,3,3,2,4,1,4,0,4,1,3,0,0,0,,
