"cell","X","Y"
1,209.833,12.5
2,221.833,13.833
3,233.833,13.167
4,251.5,12.833
5,266.167,13.833
6,274.167,13.833
7,288.833,13.833
8,301.833,14.167
9,313.5,14.5
10,324.833,12.833
11,337.167,13.833
12,209.167,28.167
13,218.833,21.5
14,237.5,25.167
15,245.167,15.833
16,259.167,18.5
17,271.5,26.5
18,293.5,25.833
19,302.167,26.833
20,313.167,30.5
21,329.833,31.833
22,338.167,29.5
23,209.5,41.5
24,225.167,44.833
25,237.5,46.5
26,254.167,43.833
27,264.833,42.833
28,276.167,40.833
29,294.167,37.5
30,302.167,41.167
31,313.833,41.167
32,327.167,42.167
33,337.833,42.5
34,211.167,56.167
35,218.833,49.167
36,239.5,51.833
37,247.833,52.833
38,260.833,52.5
39,282.167,53.167
40,286.167,48.833
41,306.833,52.833
42,315.5,53.833
43,329.167,59.167
44,338.5,55.833
45,209.833,68.167
46,214.167,71.167
47,236.167,67.167
48,251.167,69.5
49,257.167,64.833
50,276.167,67.833
51,288.5,72.833
52,303.833,62.5
53,319.167,65.167
54,334.833,65.833
55,338.167,73.5
56,211.167,82.5
57,218.5,81.5
58,235.833,75.5
59,242.833,80.5
60,266.167,82.167
61,282.833,84.167
62,295.167,82.167
63,307.5,84.5
64,316.167,82.167
65,327.5,82.5
66,337.833,82.5
67,211.167,95.167
68,217.167,99.5
69,239.167,93.5
70,252.833,91.167
71,263.167,92.833
72,270.167,99.5
73,293.833,97.5
74,304.5,94.167
75,314.167,96.5
76,334.833,106.167
77,338.833,98.167
78,211.833,116.833
79,214.5,110.167
80,240.833,103.167
81,254.5,106.167
82,264.5,110.5
83,273.5,111.833
84,294.833,112.167
85,306.167,104.833
86,316.167,113.167
87,332.5,112.833
88,340.5,115.5
89,211.833,123.833
90,220.833,119.5
91,239.833,120.833
92,250.833,118.5
93,265.833,124.833
94,269.167,120.833
95,290.5,125.167
96,308.167,121.167
97,315.5,123.833
98,335.833,125.167
99,339.167,132.167
100,211.833,138.167
101,224.5,139.167
102,232.167,136.833
103,254.833,132.5
104,264.167,137.833
105,272.5,136.5
106,296.833,133.5
107,311.5,133.5
108,321.833,132.833
109,328.167,138.167
110,339.833,138.167
111,212.5,152.833
112,219.833,148.167
113,236.167,149.167
114,245.833,146.833
115,263.5,151.833
116,276.167,157.167
117,293.833,150.167
118,309.5,146.833
119,321.833,149.5
120,336.833,151.833
121,341.5,144.833
122,212.833,165.167
123,223.5,165.5
124,238.167,167.833
125,246.833,169.833
126,261.833,171.167
127,284.5,165.5
128,294.167,164.833
129,302.833,166.5
130,323.5,170.5
131,330.833,164.833
132,340.833,165.167
133,214.5,187.5
134,216.5,180.5
135,243.5,181.833
136,252.833,176.167
137,261.833,181.167
138,277.5,174.5
139,296.833,181.5
140,303.5,177.833
141,322.167,179.167
142,329.5,185.5
143,339.5,179.833
144,211.5,195.167
145,223.167,194.833
146,235.833,197.5
147,251.167,193.167
148,262.833,195.833
