"id","site","family","region","group"
"1602","1","spring meadows","perimeter","late_nonsurvivor"
"1606","35","parker","outside","late_nonsurvivor"
"1609","37","pht","outside","late_nonsurvivor"
"1615","31","borregosprings","outside","late_nonsurvivor"
"1640","27","beatty","perimeter","late_nonsurvivor"
"1654","36","havasu","outside","early_nonsurvivor"
"1678","20","furnace north","DV","late_nonsurvivor"
"1691","1","spring meadows","perimeter","early_nonsurvivor"
"1702","37","pht","outside","survivor"
"1703","14","spring meadows","perimeter","survivor"
"1704","15","hw190 east","perimeter","late_nonsurvivor"
"1707","17","furnace south","DV","survivor"
"1715","1","spring meadows","perimeter","late_nonsurvivor"
"1721","24","panamint","perimeter","survivor"
"1742","31","borregosprings","outside","late_nonsurvivor"
"1749","16","hw190 west","perimeter","late_nonsurvivor"
"1794","1","spring meadows","perimeter","late_nonsurvivor"
"1829","24","panamint","perimeter","late_nonsurvivor"
"1852","32","salton city","outside","late_nonsurvivor"
"1879","14","spring meadows","perimeter","survivor"
"1889","17","furnace south","DV","late_nonsurvivor"
"1912","22","stovepipe","DV","late_nonsurvivor"
"1920","17","furnace south","DV","late_nonsurvivor"
"1940","15","hw190 east","perimeter","survivor"
"1959","28","hw8","outside","survivor"
"1968","28","hw8","outside","survivor"
"1969","20","furnace north","DV","survivor"
"1977","38","bullhead city","outside","survivor"
"1978","38","bullhead city","outside","survivor"
"1981","13","hw127","perimeter","late_nonsurvivor"
"1982","29","anzaborrego","outside","survivor"
"1983","1","spring meadows","perimeter","survivor"
"1985","32","salton city","outside","survivor"
"1986","32","salton city","outside","survivor"
"1987","39","lake mead","outside","survivor"
"1992","31","borregosprings","outside","survivor"
"1997","35","parker","outside","survivor"
"1999","37","pht","outside","survivor"
"2000","31","borregosprings","outside","survivor"
"2001","38","bullhead city","outside","survivor"
"2002","32","salton city","outside","survivor"
"2003","22","stovepipe","DV","survivor"
"2004","34","quartz","outside","survivor"
"2005","34","quartz","outside","survivor"
"2010","33","blythe","outside","survivor"
"2011","17","furnace south","DV","survivor"
"2012","12","badwater south","DV","survivor"
"2019","24","panamint","perimeter","survivor"
"2020","24","panamint","perimeter","survivor"
"2027","14","spring meadows","perimeter","survivor"
"2032","34","quartz","outside","late_nonsurvivor"
"2036","28","hw8","outside","survivor"
"2039","29","anzaborrego","outside","survivor"
"2044","36","havasu","outside","survivor"
"2048","31","borregosprings","outside","survivor"
"2049","37","pht","outside","survivor"
"2054","35","parker","outside","survivor"
"2056","15","hw190 east","perimeter","survivor"
"2060","31","borregosprings","outside","survivor"
