"record","cell","area_mean_3"
"Record_2025-04-16_10-38-00",1,56.2034615384615
"Record_2025-04-16_10-38-00",2,51.0993333333333
"Record_2025-04-16_10-38-00",3,50.396
"Record_2025-04-16_10-38-00",4,50.2753846153846
"Record_2025-04-16_10-38-00",5,50.7753333333333
"Record_2025-04-16_10-38-00",6,49.7236666666667
"Record_2025-04-16_10-38-00",7,49.8766666666667
"Record_2025-04-16_10-38-00",8,51.329
"Record_2025-04-16_10-38-00",9,51.4986206896552
"Record_2025-04-16_10-38-00",10,54.368
"Record_2025-04-16_10-38-00",11,56.7973333333333
"Record_2025-04-16_10-38-00",12,50.331
"Record_2025-04-16_10-38-00",13,48.8838461538462
"Record_2025-04-16_10-38-00",14,47.13
"Record_2025-04-16_10-38-00",15,48.8773333333333
"Record_2025-04-16_10-38-00",16,48.4323076923077
"Record_2025-04-16_10-38-00",17,47.8731034482759
"Record_2025-04-16_10-38-00",18,48.0842307692308
"Record_2025-04-16_10-38-00",19,47.588
"Record_2025-04-16_10-38-00",20,48.455
"Record_2025-04-16_10-38-00",21,49.7616666666667
"Record_2025-04-16_10-38-00",22,50.6519230769231
"Record_2025-04-16_10-38-00",23,49.2441379310345
"Record_2025-04-16_10-38-00",24,46.9896666666667
"Record_2025-04-16_10-38-00",25,46.8855172413793
"Record_2025-04-16_10-38-00",26,47.5023333333333
"Record_2025-04-16_10-38-00",27,47.3686666666667
"Record_2025-04-16_10-38-00",28,44.599
"Record_2025-04-16_10-38-00",29,48.5734615384615
"Record_2025-04-16_10-38-00",30,45.5826666666667
"Record_2025-04-16_10-38-00",31,46.302
"Record_2025-04-16_10-38-00",32,47.518
"Record_2025-04-16_10-38-00",33,50.8603846153846
"Record_2025-04-16_10-38-00",34,47.6546666666667
"Record_2025-04-16_10-38-00",35,47.782
"Record_2025-04-16_10-38-00",36,47.6215384615385
"Record_2025-04-16_10-38-00",37,44.8063333333333
"Record_2025-04-16_10-38-00",38,44.8446153846154
"Record_2025-04-16_10-38-00",39,47.237
"Record_2025-04-16_10-38-00",40,48.24
"Record_2025-04-16_10-38-00",41,48.513
"Record_2025-04-16_10-38-00",42,45.7576923076923
"Record_2025-04-16_10-38-00",43,47.99
"Record_2025-04-16_10-38-00",44,49.2626923076923
"Record_2025-04-16_10-38-00",45,48.6116666666667
"Record_2025-04-16_10-38-00",46,47.749
"Record_2025-04-16_10-38-00",47,44.9466666666667
"Record_2025-04-16_10-38-00",48,45.9403846153846
"Record_2025-04-16_10-38-00",49,47.513
"Record_2025-04-16_10-38-00",50,44.575
"Record_2025-04-16_10-38-00",51,47.58
"Record_2025-04-16_10-38-00",52,47.7507692307692
"Record_2025-04-16_10-38-00",53,47.374
"Record_2025-04-16_10-38-00",54,48.528
"Record_2025-04-16_10-38-00",55,50.1203846153846
"Record_2025-04-16_10-38-00",56,47.0038461538462
"Record_2025-04-16_10-38-00",57,47.2737931034483
"Record_2025-04-16_10-38-00",58,47.0615384615385
"Record_2025-04-16_10-38-00",59,48.2546153846154
"Record_2025-04-16_10-38-00",60,46.8016666666667
"Record_2025-04-16_10-38-00",61,47.3166666666667
"Record_2025-04-16_10-38-00",62,46.8836666666667
"Record_2025-04-16_10-38-00",63,46.6289655172414
"Record_2025-04-16_10-38-00",64,46.835
"Record_2025-04-16_10-38-00",65,45.4444827586207
"Record_2025-04-16_10-38-00",66,49.6657692307692
"Record_2025-04-16_10-38-00",67,46.14
"Record_2025-04-16_10-38-00",68,47.8038461538462
"Record_2025-04-16_10-38-00",69,47.7007692307692
"Record_2025-04-16_10-38-00",70,47.247
"Record_2025-04-16_10-38-00",71,45.788
"Record_2025-04-16_10-38-00",72,47.6676923076923
"Record_2025-04-16_10-38-00",73,45.0761538461538
"Record_2025-04-16_10-38-00",74,45.6573076923077
"Record_2025-04-16_10-38-00",75,46.2934615384615
"Record_2025-04-16_10-38-00",76,48.6273333333333
